Fecha:  03:36; lunes; mayo 27; 2024
Nombre del modelo: Mesa-Lámina
Nombre de estudio: Pandeo 1(-Predeterminado-)
Tipo de resultado: Pandeo Amplitud1
Forma modal: 1  Factor de carga = 2.237,5 
Tipo de resultado: AMPX


Nodo  ;Valor  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Componentes
18229  ;0,00337  ;568,73992920  ;-481,86248779  ;477,80990601  ;Mesa_Estructural-1
18225  ;0,00555  ;568,73986816  ;-481,86245728  ;575,47650146  ;Mesa_Estructural-1
18223  ;0,00676  ;568,73986816  ;-481,86248779  ;624,30987549  ;Mesa_Estructural-1
18309  ;0,0074  ;520,19989014  ;-481,86248779  ;648,72656250  ;Mesa_Estructural-1
18467  ;0  ;508,06491089  ;-465,55679321  ;648,72650146  ;Mesa_Estructural-1
18311  ;0,0074  ;471,65991211  ;-481,86248779  ;648,72650146  ;Mesa_Estructural-1
18466  ;0  ;447,38989258  ;-464,39819336  ;709,72650146  ;Mesa_Estructural-1
18465  ;0  ;508,06491089  ;-465,55679321  ;770,72656250  ;Mesa_Estructural-1
18290  ;0,0211  ;568,73986816  ;-281,86245728  ;770,72656250  ;Mesa_Estructural-1
18101  ;0,0285  ;531,53991699  ;-62,34407425  ;749,37652588  ;Soporte1Top-2
18284  ;0,0274  ;568,73986816  ;-131,86245728  ;770,72656250  ;Mesa_Estructural-1
18286  ;0,0255  ;568,73986816  ;-181,86247253  ;770,72656250  ;Mesa_Estructural-1
18292  ;0,0186  ;568,73986816  ;-331,86248779  ;770,72656250  ;Mesa_Estructural-1
18214  ;0,0128  ;568,73986816  ;-481,86248779  ;839,72656250  ;Mesa_Estructural-1
18157  ;0,014  ;543,73992920  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18159  ;0,014  ;493,73992920  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18161  ;0,014  ;443,73992920  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18165  ;0,014  ;343,73992920  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18167  ;0,014  ;293,73989868  ;-481,86245728  ;885,72650146  ;Mesa_Estructural-1
18170  ;0,0139  ;218,73991394  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18176  ;0,0139  ;68,73991394  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18181  ;0,0138  ;-56,26009750  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18182  ;0,0133  ;-81,26010132  ;-481,86245728  ;860,48846436  ;Mesa_Estructural-1
18186  ;0,0109  ;-81,26010132  ;-481,86248779  ;759,53607178  ;Mesa_Estructural-1
18190  ;0,00839  ;-81,26010132  ;-481,86248779  ;658,58367920  ;Mesa_Estructural-1
18196  ;0,00454  ;-81,26010132  ;-481,86248779  ;507,15512085  ;Mesa_Estructural-1
18200  ;0,00208  ;-81,26010132  ;-481,86248779  ;406,20272827  ;Mesa_Estructural-1
