Fecha:  03:28; lunes; mayo 27; 2024
Nombre del modelo: Mesa-Lámina
Nombre de estudio: Análisis estático 1(-Predeterminado-)
Tipo de resultado: Desplazamiento estático Desplazamientos1
Tipo de resultado: URES 


Nodo  ;Valor (mm)  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Componentes
18228  ;2,970e-02  ;568,73986816  ;-481,86245728  ;502,22653198  ;Mesa_Estructural-1
18225  ;4,457e-02  ;568,73986816  ;-481,86245728  ;575,47650146  ;Mesa_Estructural-1
18231  ;1,565e-02  ;568,73986816  ;-481,86245728  ;428,97653198  ;Mesa_Estructural-1
18311  ;9,366e-02  ;471,65991211  ;-481,86248779  ;648,72650146  ;Mesa_Estructural-1
18224  ;4,824e-02  ;568,73992920  ;-481,86248779  ;599,89318848  ;Mesa_Estructural-1
18306  ;1,016e-01  ;447,38989258  ;-481,86248779  ;673,12658691  ;Mesa_Estructural-1
18466  ;1,000e-30  ;447,38989258  ;-464,39819336  ;709,72650146  ;Mesa_Estructural-1
18301  ;7,559e-02  ;471,65991211  ;-481,86248779  ;770,72656250  ;Mesa_Estructural-1
18219  ;4,676e-02  ;568,73986816  ;-481,86248779  ;721,92657471  ;Mesa_Estructural-1
18215  ;2,585e-02  ;568,73986816  ;-481,86248779  ;816,72656250  ;Mesa_Estructural-1
18213  ;1,433e-02  ;568,73986816  ;-481,86248779  ;862,72656250  ;Mesa_Estructural-1
18160  ;1,772e-02  ;468,73989868  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18166  ;2,406e-02  ;318,73992920  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18168  ;2,364e-02  ;268,73989868  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18174  ;1,544e-02  ;118,73991394  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18179  ;7,839e-03  ;-6,26009607  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
18453  ;1,020e-02  ;-81,26010132  ;-406,86245728  ;885,72650146  ;Mesa_Estructural-1
18182  ;7,249e-03  ;-81,26010132  ;-481,86245728  ;860,48846436  ;Mesa_Estructural-1
18185  ;9,395e-03  ;-81,26010132  ;-481,86248779  ;784,77416992  ;Mesa_Estructural-1
18190  ;1,260e-02  ;-81,26010132  ;-481,86248779  ;658,58367920  ;Mesa_Estructural-1
18195  ;1,078e-02  ;-81,26010132  ;-481,86248779  ;532,39318848  ;Mesa_Estructural-1
18201  ;6,890e-03  ;-81,26010132  ;-481,86245728  ;380,96463013  ;Mesa_Estructural-1
