Fecha:  02:50; lunes; mayo 27; 2024
Nombre del modelo: Mesa-Lámina
Nombre de estudio: Análisis estático 1(-Predeterminado-)
Tipo de resultado: Cortadura en dir. 1 Tensiones4
Tipo de resultado: TauYZ 


Elemento  ;Valor (N/mm^2 (MPa))  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Componentes
10470  ;-0,987  ;568,73986816  ;-481,86248779  ;447,70629883  ;Mesa_Estructural-1
10468  ;-0,987  ;568,73986816  ;-481,86245728  ;502,11166382  ;Mesa_Estructural-1
10466  ;-0,987  ;568,73992920  ;-481,86248779  ;531,17913818  ;Mesa_Estructural-1
10465  ;-0,987  ;568,73986816  ;-481,86245728  ;571,47290039  ;Mesa_Estructural-1
10462  ;-0,987  ;568,73986816  ;-481,86248779  ;625,53100586  ;Mesa_Estructural-1
10550  ;0,574  ;501,44726563  ;-481,86248779  ;648,72656250  ;Mesa_Estructural-1
10544  ;0,205  ;447,38992310  ;-481,86248779  ;731,90258789  ;Mesa_Estructural-1
10542  ;0,983  ;466,62237549  ;-481,86248779  ;770,72656250  ;Mesa_Estructural-1
10540  ;0,983  ;496,86169434  ;-481,86248779  ;770,72656250  ;Mesa_Estructural-1
10538  ;0,983  ;546,94592285  ;-481,86248779  ;770,72656250  ;Mesa_Estructural-1
10458  ;0,365  ;568,73986816  ;-481,86248779  ;739,01574707  ;Mesa_Estructural-1
10535  ;-0,256  ;568,73986816  ;-407,90399170  ;770,72650146  ;Mesa_Estructural-1
10532  ;-0,256  ;568,73986816  ;-347,88024902  ;770,72656250  ;Mesa_Estructural-1
10531  ;-0,256  ;568,73986816  ;-326,12289429  ;770,72656250  ;Mesa_Estructural-1
10529  ;-0,256  ;568,73986816  ;-266,90856934  ;770,72656250  ;Mesa_Estructural-1
10527  ;-0,256  ;568,73986816  ;-214,66281128  ;770,72656250  ;Mesa_Estructural-1
10525  ;-0,256  ;568,73986816  ;-173,97166443  ;770,72656250  ;Mesa_Estructural-1
10523  ;-0,256  ;568,73986816  ;-128,23539734  ;770,72656250  ;Mesa_Estructural-1
10521  ;0,734  ;568,73986816  ;-76,03118134  ;770,72656250  ;Mesa_Estructural-1
10454  ;2,69  ;568,73986816  ;-481,86248779  ;819,24365234  ;Mesa_Estructural-1
10452  ;2,69  ;568,73986816  ;-481,86248779  ;864,25250244  ;Mesa_Estructural-1
10453  ;2,69  ;568,73986816  ;-481,86248779  ;844,59338379  ;Mesa_Estructural-1
10455  ;2,69  ;568,73986816  ;-481,86248779  ;810,40759277  ;Mesa_Estructural-1
10400  ;0,145  ;441,93991089  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10398  ;0,205  ;482,16955566  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10404  ;0,0252  ;325,47662354  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10406  ;-0,0347  ;286,56369019  ;-481,86245728  ;885,72650146  ;Mesa_Estructural-1
10402  ;0,085  ;372,81875610  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10409  ;-0,124  ;212,82373047  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10413  ;-0,244  ;106,94668579  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10416  ;-0,334  ;30,68591309  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10418  ;-0,394  ;-17,20911026  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10419  ;-0,424  ;-45,93491364  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10423  ;0,287  ;-81,26010132  ;-481,86248779  ;810,22418213  ;Mesa_Estructural-1
10426  ;0,176  ;-81,26010132  ;-481,86248779  ;741,29864502  ;Mesa_Estructural-1
10429  ;0,0645  ;-81,26010132  ;-481,86248779  ;666,90509033  ;Mesa_Estructural-1
10431  ;-0,00958  ;-81,26010132  ;-481,86248779  ;615,11596680  ;Mesa_Estructural-1
10436  ;-0,195  ;-81,26010132  ;-481,86248779  ;488,97106934  ;Mesa_Estructural-1
10438  ;-0,269  ;-81,26010132  ;-481,86248779  ;443,60198975  ;Mesa_Estructural-1
10439  ;-0,306  ;-81,26010132  ;-481,86248779  ;413,78042603  ;Mesa_Estructural-1
