Fecha:  03:15; lunes; mayo 27; 2024
Nombre del modelo: Mesa-Lámina
Nombre de estudio: Análisis estático 1(-Predeterminado-)
Tipo de resultado: Cortadura en dir. 2 Tensiones6
Tipo de resultado: P1 


Elemento  ;Valor (N/mm^2 (MPa))  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Componentes
10477  ;0,627  ;568,73986816  ;-570,20336914  ;355,72653198  ;Mesa_Estructural-1
10476  ;0,627  ;568,73986816  ;-541,49487305  ;355,72653198  ;Mesa_Estructural-1
10480  ;0,627  ;568,73986816  ;-651,40734863  ;355,72653198  ;Mesa_Estructural-1
10470  ;0,0369  ;568,73986816  ;-481,86248779  ;442,76065063  ;Mesa_Estructural-1
10467  ;0,0369  ;568,73986816  ;-481,86245728  ;511,18112183  ;Mesa_Estructural-1
10465  ;0,0369  ;568,73986816  ;-481,86248779  ;556,79467773  ;Mesa_Estructural-1
10551  ;-0,0598  ;487,87149048  ;-481,86248779  ;648,72656250  ;Mesa_Estructural-1
10461  ;0,0307  ;568,73986816  ;-481,86248779  ;670,04101563  ;Mesa_Estructural-1
10459  ;0,0307  ;568,73986816  ;-481,86248779  ;721,76965332  ;Mesa_Estructural-1
10550  ;-0,0598  ;505,82135010  ;-481,86248779  ;648,72656250  ;Mesa_Estructural-1
10546  ;0,00621  ;447,38989258  ;-481,86248779  ;680,78985596  ;Mesa_Estructural-1
10544  ;0,00621  ;447,38992310  ;-481,86248779  ;733,12377930  ;Mesa_Estructural-1
10540  ;0,0598  ;509,42169189  ;-481,86248779  ;770,72656250  ;Mesa_Estructural-1
10455  ;-0,219  ;568,73986816  ;-481,86248779  ;812,84387207  ;Mesa_Estructural-1
10395  ;0,0233  ;552,72454834  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10398  ;0,0233  ;479,44061279  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10400  ;0,0233  ;440,23077393  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10403  ;0,0233  ;344,25280762  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10406  ;0,0233  ;288,41055298  ;-481,86245728  ;885,72650146  ;Mesa_Estructural-1
10407  ;0,0233  ;251,49351501  ;-481,86245728  ;885,72650146  ;Mesa_Estructural-1
10410  ;0,0233  ;180,22708130  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10413  ;0,0233  ;103,86248016  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10415  ;0,0233  ;51,56057358  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10526  ;-0,193  ;568,73986816  ;-182,03851318  ;770,72656250  ;Mesa_Estructural-1
10521  ;0,474  ;568,73992920  ;-63,76168060  ;770,72656250  ;Mesa_Estructural-1
10423  ;-0,0109  ;-81,26010132  ;-481,86248779  ;834,44384766  ;Mesa_Estructural-1
10425  ;-0,0109  ;-81,26010132  ;-481,86248779  ;762,70794678  ;Mesa_Estructural-1
10427  ;-0,0109  ;-81,26010132  ;-481,86248779  ;715,50659180  ;Mesa_Estructural-1
10429  ;-0,0109  ;-81,26010132  ;-481,86248779  ;680,70928955  ;Mesa_Estructural-1
10432  ;-0,0109  ;-81,26010132  ;-481,86248779  ;595,79003906  ;Mesa_Estructural-1
10439  ;-0,0109  ;-81,26010132  ;-481,86248779  ;407,85388184  ;Mesa_Estructural-1
