Fecha:  02:36; lunes; mayo 27; 2024
Nombre del modelo: Mesa-Lámina
Nombre de estudio: Análisis estático 1(-Predeterminado-)
Tipo de resultado: P/A de tensión axial Stress Axial
Tipo de resultado: SX 


Elemento  ;Valor (N/mm^2 (MPa))  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Componentes
10470  ;-0,216  ;568,73986816  ;-481,86245728  ;435,24398804  ;Mesa_Estructural-1
10469  ;-0,216  ;568,73992920  ;-481,86248779  ;474,71511841  ;Mesa_Estructural-1
10466  ;-0,216  ;568,73986816  ;-481,86248779  ;544,75915527  ;Mesa_Estructural-1
10462  ;-0,216  ;568,73986816  ;-481,86245728  ;637,62976074  ;Mesa_Estructural-1
10547  ;-0,0275  ;447,38989258  ;-481,86248779  ;665,49377441  ;Mesa_Estructural-1
10549  ;-0,00286  ;537,64508057  ;-481,86248779  ;648,72650146  ;Mesa_Estructural-1
10460  ;-0,189  ;568,73986816  ;-481,86248779  ;683,07983398  ;Mesa_Estructural-1
10458  ;-0,189  ;568,73986816  ;-481,86248779  ;723,26263428  ;Mesa_Estructural-1
10546  ;-0,0275  ;447,38992310  ;-481,86248779  ;689,42999268  ;Mesa_Estructural-1
10543  ;-0,0275  ;447,38989258  ;-481,86248779  ;755,34191895  ;Mesa_Estructural-1
10541  ;0,00286  ;473,56649780  ;-481,86248779  ;770,72656250  ;Mesa_Estructural-1
10539  ;0,00286  ;525,30883789  ;-481,86248779  ;770,72656250  ;Mesa_Estructural-1
10533  ;-0,261  ;568,73986816  ;-359,26718140  ;770,72656250  ;Mesa_Estructural-1
10528  ;-0,261  ;568,73986816  ;-239,12326050  ;770,72656250  ;Mesa_Estructural-1
10522  ;-0,261  ;568,73986816  ;-91,96778870  ;770,72656250  ;Mesa_Estructural-1
10454  ;-0,305  ;568,73986816  ;-481,86248779  ;818,64050293  ;Mesa_Estructural-1
10396  ;-0,0281  ;537,74810791  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10397  ;-0,0281  ;508,21228027  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10398  ;-0,0281  ;476,98828125  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10402  ;-0,0281  ;375,75268555  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10406  ;-0,0281  ;289,75073242  ;-481,86245728  ;885,72650146  ;Mesa_Estructural-1
10405  ;-0,0281  ;296,95324707  ;-481,86245728  ;885,72650146  ;Mesa_Estructural-1
10407  ;-0,0281  ;244,30491638  ;-481,86245728  ;885,72650146  ;Mesa_Estructural-1
10409  ;-0,0281  ;204,92913818  ;-481,86245728  ;885,72650146  ;Mesa_Estructural-1
10417  ;-0,0281  ;2,52238655  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10419  ;-0,0281  ;-42,38951874  ;-481,86248779  ;885,72656250  ;Mesa_Estructural-1
10427  ;-0,0518  ;-81,26010132  ;-481,86248779  ;726,39678955  ;Mesa_Estructural-1
10421  ;-0,0518  ;-81,26010132  ;-481,86245728  ;862,74169922  ;Mesa_Estructural-1
10425  ;-0,0518  ;-81,26010132  ;-481,86248779  ;784,15673828  ;Mesa_Estructural-1
10429  ;-0,0518  ;-81,26010132  ;-481,86248779  ;673,66137695  ;Mesa_Estructural-1
10431  ;-0,0518  ;-81,26010132  ;-481,86248779  ;625,27557373  ;Mesa_Estructural-1
10434  ;-0,0518  ;-81,26010132  ;-481,86248779  ;541,07647705  ;Mesa_Estructural-1
10437  ;-0,0518  ;-81,26010132  ;-481,86248779  ;459,53356934  ;Mesa_Estructural-1
