t_s,Px_mm,Py_mm,Pz_mm,b1_mm,b2_mm,b3_mm,b1_mm_s,b2_mm_s,b3_mm_s,b1_mm_s2,b2_mm_s2,b3_mm_s2,thetaC1_deg,thetaD1_deg,thetaC2_deg,thetaD2_deg,thetaC3_deg,thetaD3_deg
0.0,-60.0,0.0,0.0,40.0,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.97568716295784,-67.97568716295784,67.97568716295784,-67.97568716295784
0.03,-59.7,0.0,0.0,40.3,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.93705308436063,-67.93705308436063,67.93705308436063,-67.93705308436063
0.06,-59.4,0.0,0.0,40.60000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.89840844442398,-67.89840844442398,67.89840844442398,-67.89840844442398
0.09,-59.1,0.0,0.0,40.89999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.85975321688723,-67.85975321688723,67.85975321688723,-67.85975321688723
0.12,-58.8,0.0,0.0,41.2,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.8210873754344,-67.8210873754344,67.8210873754344,-67.8210873754344
0.15,-58.5,0.0,0.0,41.5,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.78241089369394,-67.78241089369394,67.78241089369394,-67.78241089369394
0.18,-58.2,0.0,0.0,41.8,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.74372374523863,-67.74372374523863,67.74372374523863,-67.74372374523863
0.21,-57.9,0.0,0.0,42.10000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.70502590358535,-67.70502590358535,67.70502590358535,-67.70502590358535
0.24,-57.6,0.0,0.0,42.39999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.66631734219479,-67.66631734219479,67.66631734219479,-67.66631734219479
0.27,-57.3,0.0,0.0,42.7,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.62759803447133,-67.62759803447133,67.62759803447133,-67.62759803447133
0.3,-57.0,0.0,0.0,43.0,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.58886795376274,-67.58886795376274,67.58886795376274,-67.58886795376274
0.32999999999999996,-56.7,0.0,0.0,43.3,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.55012707336002,-67.55012707336002,67.55012707336002,-67.55012707336002
0.36,-56.4,0.0,0.0,43.60000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.5113753664971,-67.5113753664971,67.5113753664971,-67.5113753664971
0.39,-56.1,0.0,0.0,43.89999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.47261280635075,-67.47261280635075,67.47261280635075,-67.47261280635075
0.42,-55.8,0.0,0.0,44.2,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.4338393660402,-67.4338393660402,67.4338393660402,-67.4338393660402
0.44999999999999996,-55.5,0.0,0.0,44.5,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.39505501862706,-67.39505501862706,67.39505501862706,-67.39505501862706
0.48,-55.2,0.0,0.0,44.8,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.356259737115,-67.356259737115,67.356259737115,-67.356259737115
0.51,-54.9,0.0,0.0,45.10000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.31745349444952,-67.31745349444952,67.31745349444952,-67.31745349444952
0.54,-54.6,0.0,0.0,45.39999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.27863626351784,-67.27863626351784,67.27863626351784,-67.27863626351784
0.57,-54.3,0.0,0.0,45.7,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.23980801714852,-67.23980801714852,67.23980801714852,-67.23980801714852
0.6,-54.0,0.0,0.0,46.0,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.20096872811129,-67.20096872811129,67.20096872811129,-67.20096872811129
0.63,-53.7,0.0,0.0,46.3,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.16211836911691,-67.16211836911691,67.16211836911691,-67.16211836911691
