t_s,Px_mm,Py_mm,Pz_mm,b1_mm,b2_mm,b3_mm,b1_mm_s,b2_mm_s,b3_mm_s,b1_mm_s2,b2_mm_s2,b3_mm_s2,thetaC1_deg,thetaD1_deg,thetaC2_deg,thetaD2_deg,thetaC3_deg,thetaD3_deg
0.0,0.0,-40.0,0.0,100.0,60.0,100.0,0.0,0.0,0.0,0.0,20.0,0.0,65.37568164783592,-65.37568164783592,59.99999999999999,-59.99999999999999,50.08032532232782,-69.00496973837906
0.01,0.0,-39.999,0.0,100.0,60.001,100.0,0.0,0.2,0.0,0.0,20.0,0.0,65.37555034037955,-65.37555034037955,59.99999999999999,-59.99999999999999,50.08058036750963,-69.00476022287256
0.02,0.0,-39.996,0.0,100.0,60.004,100.0,0.0,0.4,0.0,0.0,20.0,0.0,65.37515641718282,-65.37515641718282,59.99999999999999,-59.99999999999999,50.081345501583954,-69.00413167111535
0.03,0.0,-39.991,0.0,100.0,60.009,100.0,0.0,0.6,0.0,0.0,20.0,0.0,65.37449987576298,-65.37449987576298,59.99999999999999,-59.99999999999999,50.08262072013699,-69.00308406739478
0.04,0.0,-39.984,0.0,100.0,60.016,100.0,0.0,0.8,0.0,0.0,20.0,0.0,65.37358071198175,-65.37358071198175,59.99999999999999,-59.99999999999999,50.08440601581082,-69.00161738552434
0.05,0.0,-39.975,0.0,100.0,60.025,100.0,0.0,1.0,0.0,0.0,20.0,0.0,65.37239892004516,-65.37239892004516,59.99999999999999,-59.99999999999999,50.086701378301186,-68.99973158884552
0.06,0.0,-39.964,0.0,100.0,60.036,100.0,0.0,1.2,0.0,0.0,20.0,0.0,65.37095449250296,-65.37095449250296,59.99999999999999,-59.99999999999999,50.08950679435411,-68.99742663023048
0.07,0.0,-39.951,0.0,100.0,60.049,100.0,0.0,1.4000000000000001,0.0,0.0,20.0,0.0,65.3692474202481,-65.3692474202481,59.99999999999999,-59.99999999999999,50.09282224776185,-68.99470245208545
0.08,0.0,-39.936,0.0,100.0,60.064,100.0,0.0,1.6,0.0,0.0,20.0,0.0,65.36727769251588,-65.36727769251588,59.99999999999999,-59.99999999999999,50.09664771935774,-68.99155898635486
0.09,0.0,-39.919,0.0,100.0,60.081,100.0,0.0,1.7999999999999998,0.0,0.0,20.0,0.0,65.3650452968832,-65.3650452968832,59.99999999999999,-59.99999999999999,50.10098318701012,-68.98799615452619
0.1,0.0,-39.9,0.0,100.0,60.1,100.0,0.0,2.0,0.0,0.0,20.0,0.0,65.36255021926743,-65.36255021926743,59.99999999999999,-59.99999999999999,50.10582862561547,-68.98401386763568
0.11,0.0,-39.879,0.0,100.0,60.121,100.0,0.0,2.2,0.0,0.0,20.0,0.0,65.35979244392536,-65.35979244392536,59.99999999999999,-59.99999999999999,50.11118400709042,-68.9796120262748
0.12,0.0,-39.856,0.0,100.0,60.144,100.0,0.0,2.4,0.0,0.0,20.0,0.0,65.35677195345184,-65.35677195345184,59.99999999999999,-59.99999999999999,50.11704930036304,-68.97479052059718
0.13,0.0,-39.831,0.0,100.0,60.169,100.0,0.0,2.6,0.0,0.0,20.0,0.0,65.35348872877837,-65.35348872877837,59.99999999999999,-59.99999999999999,50.12342447136298,-68.96954923032688
0.14,0.0,-39.804,0.0,100.0,60.196,100.0,0.0,2.8000000000000003,0.0,0.0,20.0,0.0,65.34994274917166,-65.34994274917166,59.99999999999999,-59.99999999999999,50.13030948301087,-68.96388802476677
0.15,0.0,-39.775,0.0,100.0,60.225,100.0,0.0,3.0,0.0,0.0,20.0,0.0,65.34613399223171,-65.34613399223171,59.99999999999999,-59.99999999999999,50.13770429520668,-68.9578067628082
0.16,0.0,-39.744,0.0,100.0,60.256,100.0,0.0,3.2,0.0,0.0,20.0,0.0,65.34206243389022,-65.34206243389022,59.99999999999999,-59.99999999999999,50.14560886481716,-68.95130529294107
0.17,0.0,-39.711,0.0,100.0,60.289,100.0,0.0,3.4000000000000004,0.0,0.0,20.0,0.0,65.33772804840848,-65.33772804840848,59.99999999999999,-59.99999999999999,50.15402314566238,-68.94438345326485
0.18,0.0,-39.676,0.0,100.0,60.324,100.0,0.0,3.5999999999999996,0.0,0.0,20.0,0.0,65.33313080837533,-65.33313080837533,59.99999999999999,-59.99999999999999,50.16294708850128,-68.93704107150036
0.19,0.0,-39.639,0.0,100.0,60.361,100.0,0.0,3.8,0.0,0.0,20.0,0.0,65.32827068470488,-65.32827068470488,59.99999999999999,-59.99999999999999,50.172380641016346,-68.92927796500226
0.2,0.0,-39.6,0.0,100.0,60.4,100.0,0.0,4.0,0.0,0.0,20.0,0.0,65.3231476466342,-65.3231476466342,59.99999999999999,-59.99999999999999,50.18232374779733,-68.92109394077228
0.21,0.0,-39.559,0.0,100.0,60.441,100.0,0.0,4.2,0.0,0.0,20.0,0.0,65.31776166172072,-65.31776166172072,59.99999999999999,-59.99999999999999,50.192776350323975,-68.9124887954734
0.22,0.0,-39.516,0.0,100.0,60.484,100.0,0.0,4.4,0.0,0.0,20.0,0.0,65.31211269583967,-65.31211269583967,59.99999999999999,-59.99999999999999,50.20373838694786,-68.90346231544453
0.23,0.0,-39.471,0.0,100.0,60.529,100.0,0.0,4.6000000000000005,0.0,0.0,20.0,0.0,65.30620071318124,-65.30620071318124,59.99999999999999,-59.99999999999999,50.21520979287331,-68.89401427671626
0.24,0.0,-39.424,0.0,100.0,60.576,100.0,0.0,4.8,0.0,0.0,20.0,0.0,65.30002567624767,-65.30002567624767,59.99999999999999,-59.99999999999999,50.227190500137326,-68.88414444502715
0.25,0.0,-39.375,0.0,100.0,60.625,100.0,0.0,5.0,0.0,0.0,20.0,0.0,65.29358754585019,-65.29358754585019,59.99999999999999,-59.99999999999999,50.23968043758854,-68.87385257584096
