pose,reaction,value
"home (0, 0, 0)",guide1_Fx,-80.91187278870954
"home (0, 0, 0)",guide1_Fy,0.9118727884994965
"home (0, 0, 0)",guide1_Fz,22.77881999991898
"home (0, 0, 0)",guide1_Mx,-2.052828393384054e-11
"home (0, 0, 0)",guide1_My,-14542.585743722333
"home (0, 0, 0)",guide1_Mz,4782.0685510079375
"home (0, 0, 0)",A1_Fx,-80.91187278870996
"home (0, 0, 0)",A1_Fy,0.9118727885145754
"home (0, 0, 0)",A1_Fz,3.1588199998875797
"home (0, 0, 0)",A1_M1,-14542.585743722484
"home (0, 0, 0)",A1_M2,4782.068551007953
"home (0, 0, 0)",B1_Fx,-80.91187278876366
"home (0, 0, 0)",B1_Fy,0.9118727886844082
"home (0, 0, 0)",B1_Fz,-9.672351808376334e-11
"home (0, 0, 0)",B1_M1,2274.631208954522
"home (0, 0, 0)",B1_M2,-4927.356183640489
"home (0, 0, 0)",P1_Fx,-80.91187278862485
"home (0, 0, 0)",P1_Fy,0.911872788707198
"home (0, 0, 0)",P1_Fz,-3.1588200000317253
"home (0, 0, 0)",P1_M1,-14542.58574371411
"home (0, 0, 0)",P1_M2,-14636.780918284054
"home (0, 0, 0)",guide2_Fx,0.9118727886513645
"home (0, 0, 0)",guide2_Fy,-80.91187278868028
"home (0, 0, 0)",guide2_Fz,22.778819999989068
"home (0, 0, 0)",guide2_Mx,-1231.3657472933216
"home (0, 0, 0)",guide2_My,1.3145040611561853e-12
"home (0, 0, 0)",guide2_Mz,-9782.068550998401
"home (0, 0, 0)",A2_Fx,0.9118727886506193
"home (0, 0, 0)",A2_Fy,-80.91187278867886
"home (0, 0, 0)",A2_Fz,3.1588199999875997
"home (0, 0, 0)",A2_M1,-1231.3657472933087
"home (0, 0, 0)",A2_M2,-9782.068550998412
"home (0, 0, 0)",B2_Fx,0.9118727886589113
"home (0, 0, 0)",B2_Fy,-80.91187278868802
"home (0, 0, 0)",B2_Fz,-3.637978807091713e-12
"home (0, 0, 0)",B2_M1,-18048.582699958726
"home (0, 0, 0)",B2_M2,-72.64381635647533
"home (0, 0, 0)",P2_Fx,0.9118727886525448
"home (0, 0, 0)",P2_Fy,-80.91187278868165
"home (0, 0, 0)",P2_Fz,-3.158819999973275
"home (0, 0, 0)",P2_M1,-1231.3657472932928
"home (0, 0, 0)",P2_M2,9636.78091828537
"home (0, 0, 0)",guide3_Fx,-2.3646862246096134e-11
"home (0, 0, 0)",guide3_Fy,-2.1827872842550278e-11
"home (0, 0, 0)",guide3_Fz,157.8862200000283
"home (0, 0, 0)",guide3_Mx,1830.922105836645
"home (0, 0, 0)",guide3_My,-22545.329805581776
"home (0, 0, 0)",guide3_Mz,1.8189894035458565e-12
"home (0, 0, 0)",A3_Fx,-1.6370904631912708e-11
"home (0, 0, 0)",A3_Fy,-1.318767317570746e-11
"home (0, 0, 0)",A3_Fz,138.2662200000268
"home (0, 0, 0)",A3_M1,1830.9221058366634
"home (0, 0, 0)",A3_M2,-22545.329805581772
"home (0, 0, 0)",B3_Fx,6.366462912410498e-12
"home (0, 0, 0)",B3_Fy,-6.366462912410498e-12
"home (0, 0, 0)",B3_Fz,135.10740000003113
"home (0, 0, 0)",B3_M1,-26578.89785151119
"home (0, 0, 0)",B3_M2,-6142.912605578121
"home (0, 0, 0)",P3_Fx,1.8189894035458565e-12
"home (0, 0, 0)",P3_Fy,-1.5916157281026244e-11
"home (0, 0, 0)",P3_Fz,131.94858000002205
"home (0, 0, 0)",P3_M1,1174.37369800037
"home (0, 0, 0)",P3_M2,9880.446194425223
"corner (+90, +90, +90)",guide1_Fx,-81.3855698902187
"corner (+90, +90, +90)",guide1_Fy,1.3855698902107216
"corner (+90, +90, +90)",guide1_Fz,23.58077220813092
"corner (+90, +90, +90)",guide1_Mx,-4.7517892398651895e-12
"corner (+90, +90, +90)",guide1_My,-23514.832499492288
"corner (+90, +90, +90)",guide1_Mz,6670.072629970422
"corner (+90, +90, +90)",A1_Fx,-81.38556989021866
"corner (+90, +90, +90)",A1_Fy,1.3855698901197604
"corner (+90, +90, +90)",A1_Fz,3.9607722082083114
"corner (+90, +90, +90)",A1_M1,-23514.832499491902
"corner (+90, +90, +90)",A1_M2,6670.0726299703965
"corner (+90, +90, +90)",B1_Fx,-81.38556989012756
"corner (+90, +90, +90)",B1_Fy,1.3855698900057114
"corner (+90, +90, +90)",B1_Fz,0.8019522082418975
"corner (+90, +90, +90)",B1_M1,-6632.071076741715
"corner (+90, +90, +90)",B1_M2,-3152.979826174
"corner (+90, +90, +90)",P1_Fx,-81.38556989006838
"corner (+90, +90, +90)",P1_Fy,1.3855698900355773
"corner (+90, +90, +90)",P1_Fz,-2.3568677917359175
"corner (+90, +90, +90)",P1_M1,-16190.131209367622
"corner (+90, +90, +90)",P1_M2,-20187.165433771886
"corner (+90, +90, +90)",guide2_Fx,1.385569890081257
"corner (+90, +90, +90)",guide2_Fy,-81.38556989001836
"corner (+90, +90, +90)",guide2_Fz,23.580772208261845
"corner (+90, +90, +90)",guide2_Mx,7840.420401507713
"corner (+90, +90, +90)",guide2_My,-3.289812866569264e-12
"corner (+90, +90, +90)",guide2_Mz,-11670.072629931321
"corner (+90, +90, +90)",A2_Fx,1.3855698900570559
"corner (+90, +90, +90)",A2_Fy,-81.38556989000615
"corner (+90, +90, +90)",A2_Fz,3.9607722082688
"corner (+90, +90, +90)",A2_M1,7840.420401507716
"corner (+90, +90, +90)",A2_M2,-11670.072629931345
"corner (+90, +90, +90)",B2_Fx,1.3855698901004416
"corner (+90, +90, +90)",B2_Fy,-81.38556988999699
"corner (+90, +90, +90)",B2_Fz,0.8019522082140611
"corner (+90, +90, +90)",B2_M1,-9042.341021207276
"corner (+90, +90, +90)",B2_M2,-1847.0201738075316
"corner (+90, +90, +90)",P2_Fx,1.385569890111583
"corner (+90, +90, +90)",P2_Fy,-81.38556989003155
"corner (+90, +90, +90)",P2_Fz,-2.3568677918055982
"corner (+90, +90, +90)",P2_M1,515.7191114086877
"corner (+90, +90, +90)",P2_M2,15187.165433772529
"corner (+90, +90, +90)",guide3_Fx,-7.594280759803951e-11
"corner (+90, +90, +90)",guide3_Fy,1.2732925824820995e-11
"corner (+90, +90, +90)",guide3_Fz,156.2823155836013
"corner (+90, +90, +90)",guide3_Mx,11926.121481215998
"corner (+90, +90, +90)",guide3_My,-32518.069038752656
"corner (+90, +90, +90)",guide3_Mz,3.456079866737127e-11
"corner (+90, +90, +90)",A3_Fx,-1.2960299500264227e-10
"corner (+90, +90, +90)",A3_Fy,-3.637978807091713e-11
"corner (+90, +90, +90)",A3_Fz,136.66231558355048
"corner (+90, +90, +90)",A3_M1,11926.12148121599
"corner (+90, +90, +90)",A3_M2,-32518.069038752667
"corner (+90, +90, +90)",B3_Fx,7.639755494892597e-11
"corner (+90, +90, +90)",B3_Fy,-4.4565240386873484e-11
"corner (+90, +90, +90)",B3_Fz,133.50349558355356
"corner (+90, +90, +90)",B3_M1,-16095.706839658864
"corner (+90, +90, +90)",B3_M2,-16213.870772815953
"corner (+90, +90, +90)",P3_Fx,2.546585164964199e-11
"corner (+90, +90, +90)",P3_Fy,-1.6370904631912708e-11
"corner (+90, +90, +90)",P3_Fz,130.34467558354118
"corner (+90, +90, +90)",P3_M1,-602.3172295354386
"corner (+90, +90, +90)",P3_M2,11398.141565210619
"corner (-90, -90, -90)",guide1_Fx,-79.38617876498388
"corner (-90, -90, -90)",guide1_Fy,-0.613821234996737
"corner (-90, -90, -90)",guide1_Fz,20.725620050096065
"corner (-90, -90, -90)",guide1_Mx,8.625584621557714e-12
"corner (-90, -90, -90)",guide1_My,-3768.1675948635216
"corner (-90, -90, -90)",guide1_Mz,4247.571388787708
"corner (-90, -90, -90)",A1_Fx,-79.38617876498631
"corner (-90, -90, -90)",A1_Fy,-0.6138212350369445
"corner (-90, -90, -90)",A1_Fz,1.1056200501315723
"corner (-90, -90, -90)",A1_M1,-3768.167594863534
"corner (-90, -90, -90)",A1_M2,4247.571388787695
"corner (-90, -90, -90)",B1_Fx,-79.38617876500707
"corner (-90, -90, -90)",B1_Fy,-0.6138212350367507
"corner (-90, -90, -90)",B1_Fz,-2.0531999499456806
"corner (-90, -90, -90)",B1_M1,7873.446582377835
"corner (-90, -90, -90)",B1_M2,-10834.787351586634
"corner (-90, -90, -90)",P1_Fx,-79.3861787650014
"corner (-90, -90, -90)",P1_Fy,-0.6138212350257083
"corner (-90, -90, -90)",P1_Fz,-5.212019949978949
"corner (-90, -90, -90)",P1_M1,-10912.923683715013
"corner (-90, -90, -90)",P1_M2,-7660.355425961323
"corner (-90, -90, -90)",guide2_Fx,-0.6138212349681567
"corner (-90, -90, -90)",guide2_Fy,-79.38617876494766
"corner (-90, -90, -90)",guide2_Fz,20.72562005012857
"corner (-90, -90, -90)",guide2_Mx,-10043.37341545923
"corner (-90, -90, -90)",guide2_My,1.2221335055073723e-12
"corner (-90, -90, -90)",guide2_Mz,-9247.571388779927
"corner (-90, -90, -90)",A2_Fx,-0.6138212349755108
"corner (-90, -90, -90)",A2_Fy,-79.38617876494638
"corner (-90, -90, -90)",A2_Fz,1.1056200501329911
"corner (-90, -90, -90)",A2_M1,-10043.373415459224
"corner (-90, -90, -90)",A2_M2,-9247.571388779916
"corner (-90, -90, -90)",B2_Fx,-0.6138212350001595
"corner (-90, -90, -90)",B2_Fy,-79.38617876495027
"corner (-90, -90, -90)",B2_Fz,-2.053199949873374
"corner (-90, -90, -90)",B2_M1,-21684.987592693862
"corner (-90, -90, -90)",B2_M2,5834.787351585716
"corner (-90, -90, -90)",P2_Fx,-0.6138212350251706
"corner (-90, -90, -90)",P2_Fy,-79.38617876495391
"corner (-90, -90, -90)",P2_Fz,-5.212019949834939
"corner (-90, -90, -90)",P2_M1,-2898.6173266124683
"corner (-90, -90, -90)",P2_M2,2660.355425962348
"corner (-90, -90, -90)",guide3_Fx,-2.205524651799351e-11
"corner (-90, -90, -90)",guide3_Fy,-3.8198777474462986e-11
"corner (-90, -90, -90)",guide3_Fz,161.99261989984007
"corner (-90, -90, -90)",guide3_Mx,-8986.887664454413
"corner (-90, -90, -90)",guide3_My,-14642.503883968151
"corner (-90, -90, -90)",guide3_Mz,-3.637978807091713e-12
"corner (-90, -90, -90)",A3_Fx,-2.9103830456733704e-11
"corner (-90, -90, -90)",A3_Fy,-3.3651303965598345e-11
"corner (-90, -90, -90)",A3_Fz,142.3726198998429
"corner (-90, -90, -90)",A3_M1,-8986.887664454425
"corner (-90, -90, -90)",A3_M2,-14642.503883968131
"corner (-90, -90, -90)",B3_Fx,-4.638422979041934e-11
"corner (-90, -90, -90)",B3_Fy,-2.3931079340400174e-11
"corner (-90, -90, -90)",B3_Fz,139.2137998998287
"corner (-90, -90, -90)",B3_M1,-29633.557575110804
"corner (-90, -90, -90)",B3_M2,12106.405472209008
"corner (-90, -90, -90)",P3_Fx,3.865352482534945e-11
"corner (-90, -90, -90)",P3_Fy,-1.9099388737231493e-11
"corner (-90, -90, -90)",P3_Fz,136.05497989983724
"corner (-90, -90, -90)",P3_M1,2936.98115380275
"corner (-90, -90, -90)",P3_M2,6602.790004643611
"corner (+90, -90, +90)",guide1_Fx,-81.38556989029689
"corner (+90, -90, +90)",guide1_Fy,-0.613821235069533
"corner (+90, -90, +90)",guide1_Fz,24.83201995015963
"corner (+90, -90, +90)",guide1_Mx,8.051023389632483e-12
"corner (+90, -90, +90)",guide1_My,-22337.759557356254
"corner (+90, -90, +90)",guide1_Mz,-3903.223881094644
"corner (+90, -90, +90)",A1_Fx,-81.38556989029806
"corner (+90, -90, +90)",A1_Fy,-0.6138212349485266
"corner (+90, -90, +90)",A1_Fz,5.2120199502048
"corner (+90, -90, +90)",A1_M1,-22337.75955735602
"corner (+90, -90, +90)",A1_M2,-3903.223881094605
"corner (+90, -90, +90)",B1_Fx,-81.38556988999491
"corner (+90, -90, +90)",B1_Fy,-0.6138212351707368
"corner (+90, -90, +90)",B1_Fz,2.053199950028424
"corner (+90, -90, +90)",B1_M1,-3078.242673451131
"corner (+90, -90, +90)",B1_M2,-648.8418795467694
"corner (+90, -90, +90)",P1_Fx,-81.38556989006874
"corner (+90, -90, +90)",P1_Fy,-0.6138212351933197
"corner (+90, -90, +90)",P1_Fz,-1.1056200499932558
"corner (+90, -90, +90)",P1_M1,-15013.058267225966
"corner (+90, -90, +90)",P1_M2,-16111.059364594885
"corner (+90, -90, +90)",guide2_Fx,1.3855698900698314
"corner (+90, -90, +90)",guide2_Fy,-79.3861787648187
"corner (+90, -90, +90)",guide2_Fz,23.580772208246543
"corner (+90, -90, +90)",guide2_Mx,307.38591607089506
"corner (+90, -90, +90)",guide2_My,8.746781077206833e-12
"corner (+90, -90, +90)",guide2_Mz,-15086.379627800745
"corner (+90, -90, +90)",A2_Fx,1.3855698900695224
"corner (+90, -90, +90)",A2_Fy,-79.38617876482132
"corner (+90, -90, +90)",A2_Fz,3.9607722082458565
"corner (+90, -90, +90)",A2_M1,307.3859160708677
"corner (+90, -90, +90)",A2_M2,-15086.379627800761
"corner (+90, -90, +90)",B2_Fx,1.3855698900722473
"corner (+90, -90, +90)",B2_Fy,-79.38617876482385
"corner (+90, -90, +90)",B2_Fz,0.801952208232251
"corner (+90, -90, +90)",B2_M1,-16160.618401636217
"corner (+90, -90, +90)",B2_M2,-5504.649115228152
"corner (+90, -90, +90)",P2_Fx,1.3855698900406423
"corner (+90, -90, +90)",P2_Fy,-79.38617876483158
"corner (+90, -90, +90)",P2_Fz,-2.35686779178468
"corner (+90, -90, +90)",P2_M1,-6837.370172763737
"corner (+90, -90, +90)",P2_M2,11111.059364593746
"corner (+90, -90, +90)",guide3_Fx,2.0463630789890885e-12
"corner (+90, -90, +90)",guide3_Fy,6.821210263296962e-12
"corner (+90, -90, +90)",guide3_Fz,155.03106784177908
"corner (+90, -90, +90)",guide3_Mx,-4513.844197567537
"corner (+90, -90, +90)",guide3_My,-33640.319087189506
"corner (+90, -90, +90)",guide3_Mz,-2.7853275241795927e-12
"corner (+90, -90, +90)",A3_Fx,1.0913936421275139e-11
"corner (+90, -90, +90)",A3_Fy,0.0
"corner (+90, -90, +90)",A3_Fz,135.41106784177828
"corner (+90, -90, +90)",A3_M1,-4513.844197567537
"corner (+90, -90, +90)",A3_M2,-33640.31908718949
"corner (+90, -90, +90)",B3_Fx,-3.637978807091713e-12
"corner (+90, -90, +90)",B3_Fy,1.8189894035458565e-12
"corner (+90, -90, +90)",B3_Fz,132.25224784179113
"corner (+90, -90, +90)",B3_M1,-20231.262347100852
"corner (+90, -90, +90)",B3_M2,-5629.047519909767
"corner (+90, -90, +90)",P3_Fx,-5.4569682106375694e-12
"corner (+90, -90, +90)",P3_Fy,1.2732925824820995e-11
"corner (+90, -90, +90)",P3_Fz,129.09342784177625
"corner (+90, -90, +90)",P3_M1,6875.733999961894
"corner (+90, -90, +90)",P3_M2,10142.865639207532
